soc_code,occ_title,employer_name,agc_type,url,url_type,source_type
47-1011,First-Line Supervisors of Construction Trades,Bowman Constructors,General Contractors,https://bowmanconstructors.com/careers-at-bowman/,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,"C. M. Cimino, Inc",General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,"CCB, Inc",General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,CEM DP Porter Contractor,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,CPM Constructors,General Contractors,https://www.cpmconstructors.com/job-openings,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,Carl Huston Excavation,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Cianbro Corporation,General Contractors,https://www.cianbro.com/careers-list,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,Coastal Maine General Contracting,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Consigli Construction,General Contractors,https://apply.workable.com/consigli-construction-1/?lng=en,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,"Crooker Construction, LLC",General Contractors,https://crookerconstruction.com/current-opportunities/,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,Dearborn Brothers Construction,General Contractors,https://dearborn-brothers-construction.engagedtas.com/job/769641/multiple-positions,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,Doten's Construction,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,E. W. Littlefield Inc. & Sons,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Ed Pelletier & Sons Co.,General Contractors,https://users.neo.registeredsite.com/2/3/3/17486332/assets/Employee_Application.pdf,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,"Emery Lee & Sons, Inc.",General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,"Eurovia Atlantic Coast, LLC",General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,FMG Enterprises of New England Inc.,Specialty Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Gendron Corp.,General Contractors,https://gendroncorp.com/application/,company_site,local_employer
